year,breakdown_id,run_type,bus_no,route,reason,occurred_on_yr,occurred_on_month,occurred_on_day,occurred_on_time,created_on,boro,company,delay_est,passengers,schools_notified,parents_notified,opt_notified,opt_notified_on,updated_on,breakdown,school_age
2018,1456312,Special Ed AM Run,RV5029,L370,Heavy Traffic,2018,9,4,7:16:00,20180904,Queens,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,2018-09-04T07:20:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473577,Special Ed PM Run,1413,M676,Heavy Traffic,2018,10,18,13:44:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-18T13:45:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473578,Special Ed PM Run,1462,M720,Heavy Traffic,2018,10,18,13:45:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-18T13:46:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473579,Special Ed PM Run,1470,M795,Heavy Traffic,2018,10,18,13:45:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-18T13:47:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1460722,Special Ed AM Run,GT1433,Y933,Heavy Traffic,2018,9,18,6:21:00,20180918,Bronx,"DON THOMAS BUSES, INC. (B2321)",16-30 Min,0,Yes,Yes,Yes,2018-09-18T06:23:00.000,2019-04-26T11:49:12.000,FALSE,School-Age
2018,1473580,Special Ed PM Run,1308,M608,Heavy Traffic,2018,10,18,13:47:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-18T13:48:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473581,Special Ed PM Run,1624,M725,Heavy Traffic,2018,10,18,13:48:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-18T13:49:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473582,Special Ed PM Run,1464,M609,Heavy Traffic,2018,10,18,13:49:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-18T13:49:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473583,Special Ed PM Run,1316,M610,Heavy Traffic,2018,10,18,13:49:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-18T13:50:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473585,Special Ed PM Run,41103,K289,Late return from Field Trip,2018,10,18,13:30:00,20181018,Brooklyn,EMPIRE CHARTER SERVICE INC,31-45 Min,17,Yes,Yes,No,2018-10-18T13:50:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1468006,Special Ed PM Run,1472,M984,Heavy Traffic,2018,10,4,14:18:00,20181004,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-04T14:18:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473586,Special Ed PM Run,1340,M613,Heavy Traffic,2018,10,18,13:50:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-18T13:51:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473587,Special Ed PM Run,1376,M614,Heavy Traffic,2018,10,18,13:51:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-18T13:51:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473588,Special Ed PM Run,1425,M617,Heavy Traffic,2018,10,18,13:51:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-18T13:52:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473589,Special Ed PM Run,1472,M984,Heavy Traffic,2018,10,18,13:47:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-18T13:52:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473590,Special Ed PM Run,1456,M620,Heavy Traffic,2018,10,18,13:52:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-18T13:52:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473591,Special Ed PM Run,1345,M629,Heavy Traffic,2018,10,18,13:52:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-18T13:53:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1457341,Special Ed AM Run,21247,M890,Heavy Traffic,2018,9,6,7:56:00,20180906,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,7,Yes,No,No,2018-09-06T08:31:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1458327,Special Ed AM Run,1437,M588,Problem Run,2018,9,12,7:18:00,20180912,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,5,No,No,No,2018-09-12T07:19:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1462422,Special Ed AM Run,1181,K994,Heavy Traffic,2018,9,21,9:05:00,20180921,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,1,Yes,Yes,Yes,2018-09-21T09:07:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1468936,Special Ed AM Run,255,P225,Heavy Traffic,2018,10,9,7:40:00,20181009,Queens,VAN TRANS LLC (B2192),0-15 Min,1,Yes,Yes,Yes,2018-10-09T07:42:00.000,2019-04-26T11:49:12.000,FALSE,School-Age
2018,1473592,Special Ed PM Run,1410,M639,Heavy Traffic,2018,10,18,13:53:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-18T13:53:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473593,Special Ed PM Run,9028,X081,Heavy Traffic,2018,10,18,13:50:00,20181018,Bronx,PIONEER TRANSPORTATION CORP,0-15 Min,0,Yes,No,No,2018-10-18T13:53:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1467274,Special Ed AM Run,GC0105,Y878,Heavy Traffic,2018,10,3,7:45:00,20181003,Bronx,G.V.C. LTD. (B2192),16-30 Min,2,Yes,Yes,No,2018-10-03T08:11:00.000,2018-10-03T08:14:44.000,FALSE,School-Age
2018,1473594,Special Ed PM Run,1412,M726,Heavy Traffic,2018,10,18,13:53:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-18T13:54:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473595,Special Ed PM Run,1629,M641,Heavy Traffic,2018,10,18,13:53:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-18T13:54:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1456313,Special Ed AM Run,58159,N720,Heavy Traffic,2018,9,4,7:09:00,20180904,Nassau County,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,2018-09-04T07:20:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1458822,General Ed PM Run,256,X9320,Mechanical Problem,2018,9,12,16:15:00,20180912,Bronx,LOGAN TRANSPORTATION SYSTEMS,,0,Yes,Yes,No,2018-09-12T17:13:00.000,1900-01-01T00:00:00.000,TRUE,School-Age
2018,1460757,Special Ed AM Run,1801,M179,Heavy Traffic,2018,9,18,6:32:00,20180918,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-09-18T06:33:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1467301,Special Ed AM Run,21285,M879,Problem Run,2018,10,3,7:58:00,20181003,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,5,Yes,Yes,No,2018-10-03T08:29:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473596,Special Ed PM Run,1638,M659,Heavy Traffic,2018,10,18,13:54:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-18T13:54:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1456314,Pre-K/EI,1030,ER # 4,Heavy Traffic,2018,9,4,7:19:00,20180904,Bronx,SELBY TRANSPORTATION,61-90 Min,3,Yes,No,No,2018-09-04T07:20:00.000,1900-01-01T00:00:00.000,FALSE,Pre-K
2018,1457367,Special Ed AM Run,16367,L352,Heavy Traffic,2018,9,6,8:46:00,20180906,Brooklyn,"BORO TRANSIT, INC.",46-60 Min,0,Yes,Yes,No,2018-09-06T08:56:00.000,2019-04-26T11:49:11.000,FALSE,School-Age
2018,1473597,Special Ed PM Run,1319,M738,Heavy Traffic,2018,10,18,13:54:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-18T13:54:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473598,Special Ed PM Run,1433,M664,Heavy Traffic,2018,10,18,13:54:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2018-10-18T13:55:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1462001,Special Ed AM Run,1237,M605,Heavy Traffic,2018,9,21,6:25:00,20180921,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-09-21T06:25:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1465345,Special Ed AM Run,1,W653,Heavy Traffic,2018,9,28,7:01:00,20180928,Westchester,MAR-CAN TRANSPORT CO. INC (B2192),46-60 Min,1,No,No,No,2018-09-28T07:22:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1470028,Special Ed AM Run,5633D,X787,Won`t Start,2018,10,11,6:52:00,20181011,Bronx,LITTLE RICHIE BUS SERVICE,,0,Yes,Yes,No,2018-10-11T06:53:00.000,1900-01-01T00:00:00.000,TRUE,School-Age
2018,1460784,Special Ed AM Run,1134,L343,Heavy Traffic,2018,9,18,6:41:00,20180918,Queens,"RELIANT TRANSPORTATION, INC (B2321)",16-30 Min,0,Yes,Yes,Yes,2018-09-18T06:43:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1466440,General Ed AM Run,9004,K8443,Mechanical Problem,2018,10,2,6:20:00,20181002,Brooklyn,QUALITY TRANSPORTATION CORP.,,0,No,No,No,2018-10-02T06:24:00.000,1900-01-01T00:00:00.000,TRUE,School-Age
2018,1473599,Special Ed PM Run,1325,M739,Heavy Traffic,2018,10,18,13:54:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-18T13:55:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
2018,1473600,Special Ed AM Run,1420,M765,Heavy Traffic,2018,10,18,13:55:00,20181018,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2018-10-18T13:56:00.000,1900-01-01T00:00:00.000,FALSE,School-Age
